first_cmt,forum_links,last_posts,posts,stock_names
Few more days to go should rebound prior to dividend,/servlets/forum/800001831.jsp?fp=2,"Mar 20, 09:31 PM","9,237",Stock: [FLBHD]: FOCUS LUMBER BHD
"eldon ong, dont worry. no effect. thos ex directors will get jail soon.",/servlets/forum/800002461.jsp?fp=2,"Mar 20, 09:30 PM","31,090",Stock: [FGV]: FELDA GLOBAL VENTURES HOLDINGS BHD
Buy Seacera future rm21,/servlets/forum/800001293.jsp?fp=2,"Mar 20, 09:24 PM","7,403",Stock: [SEACERA]: SEACERA GROUP BHD
PECCA ; a hidden gem;  Good counter...should sprang up soon Accumulation seen ...,/servlets/forum/800004977.jsp?fp=2,"Mar 20, 09:17 PM",541,Stock: [PECCA]: PECCA GROUP BHD
Buy la.. donate money do charity ya for the directors,/servlets/forum/800001430.jsp?fp=2,"Mar 20, 09:14 PM",826,Stock: [ATURMJU]: ATURMAJU RESOURCES BHD
"Brexit delay another 3 months, what will happen to tis ewi?",/servlets/forum/800005735.jsp?fp=2,"Mar 20, 09:12 PM","1,806",Stock: [EWINT]: ECO WORLD INTERNATIONAL BHD
Orion has been trading above its upward sloping 20 Day Moving Average which is...,/servlets/forum/800000092.jsp?fp=2,"Mar 20, 09:07 PM","3,672",Stock: [ORION]: ORION IXL BHD
"Remember Big Gun JJ, he supports at 2.0 last time. target 3.30",/servlets/forum/800001101.jsp?fp=2,"Mar 20, 09:06 PM","11,108",Stock: [KPS]: KUMPULAN PERANGSANG SELANGOR
Perdana tomorrow morning open up to 0.50 ....,/servlets/forum/800001337.jsp?fp=2,"Mar 20, 09:06 PM","3,855",Stock: [PERDANA]: PERDANA PETROLEUM BHD
Must ask tp to master baiter,/servlets/forum/800002593.jsp?fp=2,"Mar 20, 09:04 PM","48,446",Stock: [DSONIC]: DATASONIC GROUP BHD
Takda big volume. Susah mahu naik.,/servlets/forum/800001622.jsp?fp=2,"Mar 20, 09:03 PM","5,175",Stock: [SALCON]: SALCON BHD
When is the result out? End of this month?,/servlets/forum/800000705.jsp?fp=2,"Mar 20, 09:02 PM","4,703",Stock: [POS]: POS MALAYSIA BHD
Worm stock la.. gonna go 0.15.. director no money to buy back also.. buy Nadib...,/servlets/forum/800007695.jsp?fp=2,"Mar 20, 08:59 PM",339,Stock: [DPIH]: DPI HOLDINGS BERHAD
"This is not T+3 counter,  need have holding power. Up and down is marginal,  a...",/servlets/forum/800001403.jsp?fp=2,"Mar 20, 08:57 PM","27,301",Stock: [KNM]: KNM GROUP BHD
Saya mau. Esp around 3.3x range. Worth buying really. Oversold. GenM won't...,/servlets/forum/800000712.jsp?fp=2,"Mar 20, 08:47 PM","12,139",Stock: [GENM]: GENTING MALAYSIA BHD
Will break rm1.3 ?,/servlets/forum/800007143.jsp?fp=2,"Mar 20, 08:41 PM","1,658",Stock: [REVENUE]: REVENUE GROUP BHD
It's difficult to expect bjland showing profit when it's biggest contr...,/servlets/forum/800000666.jsp?fp=2,"Mar 20, 08:37 PM","1,600",Stock: [BJLAND]: BERJAYA LAND BHD
Kulim airport already aprove...,/servlets/forum/800000805.jsp?fp=2,"Mar 20, 08:36 PM",235,Stock: [CVIEW]: COUNTRY VIEW BHD
Dialog trouble starting again.  Customers pulling out of Phase 3.  Workers dea...,/servlets/forum/800001516.jsp?fp=2,"Mar 20, 08:23 PM","2,577",Stock: [DIALOG]: DIALOG GROUP BHD
"got a telegram group Datuk Bursa last week already promoting this counter, tom...",/servlets/forum/800000051.jsp?fp=2,"Mar 20, 08:19 PM","1,518",Stock: [MTRONIC]: METRONIC GLOBAL BHD
"Better buy now otherwise may miss the boat at current price, which if announce...",/servlets/forum/800000113.jsp?fp=2,"Mar 20, 08:18 PM","5,252",Stock: [INIX]: INIX TECHNOLOGIES HOLDINGS BHD
Sell out  all ..,/servlets/forum/800000780.jsp?fp=2,"Jan 13, 05:33 PM","1,323",Stock: [NWP]: NWP HOLDINGS BHD
"When investors r uninterested, time is ripe to buy in.",/servlets/forum/800005890.jsp?fp=2,"Mar 20, 08:16 PM",696,Stock: [INTA]: INTA BINA GROUP BHD
Good news,/servlets/forum/800000536.jsp?fp=2,"Mar 20, 12:09 PM","14,249",Stock: [GKENT]: GEORGE KENT MALAYSIA BHD
FGV rebounded and next is JAKS on the radar screen. Strong support!!! Hope for...,/servlets/forum/800000723.jsp?fp=2,"Mar 20, 07:57 PM","19,888",Stock: [JAKS]: JAKS RESOURCES BHD
"DreamHunter, year 2015 news -.-“",/servlets/forum/800000936.jsp?fp=2,"Mar 20, 07:55 PM","9,185",Stock: [UEMS]: UEM SUNRISE BHD
YAPSS Your video is awesome and helpful. I am your follower now. :) Keep up th...,/servlets/forum/800001378.jsp?fp=2,"Mar 20, 07:54 PM","2,530",Stock: [OKA]: OKA CORP BHD
As  I  always  said now I  still  same said : Mitra results  is good  .those k...,/servlets/forum/800001732.jsp?fp=2,"Mar 20, 07:53 PM","5,634",Stock: [MITRA]: MITRAJAYA HOLDINGS BHD
TSL buying,/servlets/forum/800001592.jsp?fp=2,"Mar 20, 07:52 PM","7,912",Stock: [ECOWLD]: ECO WORLD DEVELOPMENT GROUP BHD
Incoming...,/servlets/forum/800002499.jsp?fp=2,"Mar 20, 07:51 PM","8,338",Stock: [OCK]: OCK GROUP BHD
"Today turn ---Opcom, Eden, thriven, ewein, all up   and then soon, they all be...",/servlets/forum/800001510.jsp?fp=2,"Mar 20, 07:47 PM","3,109",Stock: [EWEIN]: EWEIN BHD
PM Mahathir : ECRL project can proceed when negotiations with China finalised ...,/servlets/forum/800002521.jsp?fp=2,"Mar 20, 02:20 PM","2,292",Stock: [GBGAQRS]: GABUNGAN AQRS BHD
